Run [t/all]:
RUN_LOG exists, delete? [y/other]
mkdir: cannot create directory ‘tmp’: File exists
Sat, 22 Jul 2017 21:49:23 +0800 RUN TIME 1
rm: cannot remove ‘TRAIN_SUCCEED’: No such file or directory
rm: cannot remove ‘EVAL_SUCCEED’: No such file or directory
Sat, 22 Jul 2017 21:49:24 +0800 Start train...
TRAIN_PID:14146
Sat, 22 Jul 2017 21:49:24 +0800 Start eval...
EVAL_PID:14151
Sat, 22 Jul 2017 21:49:24 +0800 waiting train & eval: 14146, 14151
whether to open up a new training:(y/n)please choose times to train:whether to train all historical data:(y/n)the evaluate data has already exists!
whether to delete the old evaluate directory:(y/n)please choose times to eval:time 1: 12263
generating train data...
training...
2017-07-22 21:50:05.852998: step=10(10/1), loss=1.3578, acc=0.5469; 0.141 sec/batch)
2017-07-22 21:50:07.250877: step=20(20/1), loss=1.0072, acc=0.8125; 0.134 sec/batch)
2017-07-22 21:50:08.626847: step=30(30/1), loss=0.9422, acc=0.7656; 0.144 sec/batch)
2017-07-22 21:50:10.070688: step=40(40/1), loss=0.4713, acc=0.9375; 0.121 sec/batch)
2017-07-22 21:50:11.461687: step=50(50/1), loss=0.8350, acc=0.7344; 0.134 sec/batch)
2017-07-22 21:50:12.916978: step=60(60/1), loss=0.7946, acc=0.7656; 0.136 sec/batch)
2017-07-22 21:50:17.865324: step=70(70/1), loss=0.5164, acc=0.8594; 0.198 sec/batch)
2017-07-22 21:50:19.348700: step=80(80/1), loss=0.5151, acc=0.8750; 0.137 sec/batch)
2017-07-22 21:50:21.305950: step=90(90/1), loss=0.5179, acc=0.8594; 0.193 sec/batch)
2017-07-22 21:50:23.868991: step=100(100/1), loss=0.5899, acc=0.8125; 0.217 sec/batch)
2017-07-22 21:50:26.070652: step=110(110/1), loss=0.3230, acc=0.9219; 0.179 sec/batch)
2017-07-22 21:50:27.991521: step=120(120/1), loss=0.2731, acc=0.9688; 0.216 sec/batch)
2017-07-22 21:50:32.798965: step=130(130/1), loss=0.5038, acc=0.8438; 0.179 sec/batch)
2017-07-22 21:50:34.651898: step=140(140/1), loss=0.3606, acc=0.8438; 0.200 sec/batch)
2017-07-22 21:50:36.631171: step=150(150/1), loss=0.4372, acc=0.8750; 0.201 sec/batch)
2017-07-22 21:50:38.616714: step=160(160/1), loss=0.5507, acc=0.7969; 0.219 sec/batch)
2017-07-22 21:50:40.216471: step=170(170/1), loss=0.5192, acc=0.8281; 0.128 sec/batch)
2017-07-22 21:50:41.530379: step=180(180/1), loss=0.3255, acc=0.9062; 0.149 sec/batch)
2017-07-22 21:50:42.889463: step=190(190/1), loss=0.3686, acc=0.9062; 0.135 sec/batch)
2017-07-22 21:50:46.882690: step=200(8/2), loss=0.1949, acc=0.9531; 0.194 sec/batch)
2017-07-22 21:50:49.233321: step=210(18/2), loss=0.3356, acc=0.8906; 0.282 sec/batch)
2017-07-22 21:50:51.934320: step=220(28/2), loss=0.2905, acc=0.9375; 0.266 sec/batch)
2017-07-22 21:50:54.390413: step=230(38/2), loss=0.1493, acc=0.9531; 0.227 sec/batch)
2017-07-22 21:50:56.298639: step=240(48/2), loss=0.2506, acc=0.9219; 0.177 sec/batch)
2017-07-22 21:50:58.121963: step=250(58/2), loss=0.3345, acc=0.9219; 0.139 sec/batch)
2017-07-22 21:51:02.201563: step=260(68/2), loss=0.3348, acc=0.9062; 0.209 sec/batch)
2017-07-22 21:51:04.128258: step=270(78/2), loss=0.3359, acc=0.9375; 0.220 sec/batch)
2017-07-22 21:51:06.051481: step=280(88/2), loss=0.4348, acc=0.8438; 0.198 sec/batch)
2017-07-22 21:51:07.957248: step=290(98/2), loss=0.2059, acc=0.9531; 0.198 sec/batch)
2017-07-22 21:51:09.610696: step=300(108/2), loss=0.5841, acc=0.8438; 0.133 sec/batch)
2017-07-22 21:51:11.004674: step=310(118/2), loss=0.3346, acc=0.9219; 0.113 sec/batch)
2017-07-22 21:51:12.245389: step=320(128/2), loss=0.2567, acc=0.9531; 0.088 sec/batch)
2017-07-22 21:51:16.920690: step=330(138/2), loss=0.4733, acc=0.8750; 0.280 sec/batch)
2017-07-22 21:51:19.534234: step=340(148/2), loss=0.1973, acc=0.9531; 0.287 sec/batch)
2017-07-22 21:51:22.151152: step=350(158/2), loss=0.2207, acc=0.9375; 0.250 sec/batch)
2017-07-22 21:51:24.671597: step=360(168/2), loss=0.3951, acc=0.8750; 0.185 sec/batch)
2017-07-22 21:51:26.200518: step=370(178/2), loss=0.2007, acc=0.9219; 0.138 sec/batch)
2017-07-22 21:51:27.532798: step=380(188/2), loss=0.2343, acc=0.9062; 0.139 sec/batch)
2017-07-22 21:51:31.768384: step=390(6/3), loss=0.2734, acc=0.9219; 0.192 sec/batch)
2017-07-22 21:51:33.766639: step=400(16/3), loss=0.3524, acc=0.8906; 0.213 sec/batch)
2017-07-22 21:51:35.698911: step=410(26/3), loss=0.2107, acc=0.9062; 0.205 sec/batch)
2017-07-22 21:51:37.629832: step=420(36/3), loss=0.3412, acc=0.8906; 0.173 sec/batch)
2017-07-22 21:51:39.094833: step=430(46/3), loss=0.2136, acc=0.9531; 0.138 sec/batch)
2017-07-22 21:51:40.186548: step=440(56/3), loss=0.2441, acc=0.9062; 0.079 sec/batch)
2017-07-22 21:51:45.043667: step=450(66/3), loss=0.2298, acc=0.9688; 0.272 sec/batch)
2017-07-22 21:51:47.704821: step=460(76/3), loss=0.3063, acc=0.9219; 0.249 sec/batch)
2017-07-22 21:51:50.305137: step=470(86/3), loss=0.2679, acc=0.9219; 0.250 sec/batch)
2017-07-22 21:51:52.613900: step=480(96/3), loss=0.4378, acc=0.8906; 0.197 sec/batch)
2017-07-22 21:51:54.082306: step=490(106/3), loss=0.3070, acc=0.9531; 0.137 sec/batch)
2017-07-22 21:51:55.342314: step=500(116/3), loss=0.3706, acc=0.8906; 0.128 sec/batch)
2017-07-22 21:51:56.634655: step=510(126/3), loss=0.2240, acc=0.9062; 0.114 sec/batch)
2017-07-22 21:52:00.984837: step=520(136/3), loss=0.1675, acc=0.9531; 0.239 sec/batch)
2017-07-22 21:52:03.001723: step=530(146/3), loss=0.2646, acc=0.9531; 0.180 sec/batch)
2017-07-22 21:52:04.923564: step=540(156/3), loss=0.2798, acc=0.9219; 0.158 sec/batch)
2017-07-22 21:52:06.740393: step=550(166/3), loss=0.1791, acc=0.9219; 0.122 sec/batch)
2017-07-22 21:52:07.845563: step=560(176/3), loss=0.2802, acc=0.9219; 0.077 sec/batch)
2017-07-22 21:52:08.743620: step=570(186/3), loss=0.3774, acc=0.8594; 0.161 sec/batch)
2017-07-22 21:52:14.465577: step=580(4/4), loss=0.2817, acc=0.9219; 0.299 sec/batch)
2017-07-22 21:52:17.094145: step=590(14/4), loss=0.2722, acc=0.9219; 0.300 sec/batch)
2017-07-22 21:52:19.539628: step=600(24/4), loss=0.1115, acc=0.9688; 0.231 sec/batch)
2017-07-22 21:52:21.599851: step=610(34/4), loss=0.1774, acc=0.9375; 0.229 sec/batch)
2017-07-22 21:52:22.980159: step=620(44/4), loss=0.1850, acc=0.9531; 0.135 sec/batch)
2017-07-22 21:52:24.319933: step=630(54/4), loss=0.2530, acc=0.9219; 0.132 sec/batch)
2017-07-22 21:52:25.674588: step=640(64/4), loss=0.2493, acc=0.9219; 0.115 sec/batch)
2017-07-22 21:52:30.234220: step=650(74/4), loss=0.3333, acc=0.9062; 0.199 sec/batch)
2017-07-22 21:52:32.209700: step=660(84/4), loss=0.2170, acc=0.9531; 0.215 sec/batch)
2017-07-22 21:52:34.263852: step=670(94/4), loss=0.1702, acc=0.9531; 0.200 sec/batch)
2017-07-22 21:52:35.592240: step=680(104/4), loss=0.2829, acc=0.8906; 0.084 sec/batch)
2017-07-22 21:52:36.882296: step=690(114/4), loss=0.3612, acc=0.8906; 0.169 sec/batch)
2017-07-22 21:52:38.746081: step=700(124/4), loss=0.1886, acc=0.9531; 0.185 sec/batch)
2017-07-22 21:52:44.161052: step=710(134/4), loss=0.0944, acc=0.9844; 0.263 sec/batch)
2017-07-22 21:52:46.597945: step=720(144/4), loss=0.1995, acc=0.9375; 0.204 sec/batch)
2017-07-22 21:52:48.686651: step=730(154/4), loss=0.1687, acc=0.9375; 0.191 sec/batch)
2017-07-22 21:52:50.675206: step=740(164/4), loss=0.2043, acc=0.9375; 0.147 sec/batch)
2017-07-22 21:52:52.170478: step=750(174/4), loss=0.2181, acc=0.9219; 0.128 sec/batch)
2017-07-22 21:52:53.632284: step=760(184/4), loss=0.1173, acc=0.9531; 0.140 sec/batch)
2017-07-22 21:52:57.661257: step=770(2/5), loss=0.2398, acc=0.9375; 0.193 sec/batch)
2017-07-22 21:52:59.572157: step=780(12/5), loss=0.0561, acc=1.0000; 0.151 sec/batch)
2017-07-22 21:53:01.431253: step=790(22/5), loss=0.2239, acc=0.9062; 0.110 sec/batch)
2017-07-22 21:53:03.126258: step=800(32/5), loss=0.1168, acc=0.9688; 0.168 sec/batch)
2017-07-22 21:53:05.151396: step=810(42/5), loss=0.2588, acc=0.9688; 0.201 sec/batch)
2017-07-22 21:53:07.299438: step=820(52/5), loss=0.1214, acc=0.9844; 0.179 sec/batch)
2017-07-22 21:53:09.223360: step=830(62/5), loss=0.2195, acc=0.8906; 0.210 sec/batch)
2017-07-22 21:53:14.064538: step=840(72/5), loss=0.1948, acc=0.9375; 0.185 sec/batch)
2017-07-22 21:53:16.043069: step=850(82/5), loss=0.1318, acc=0.9375; 0.151 sec/batch)
2017-07-22 21:53:18.010840: step=860(92/5), loss=0.2137, acc=0.9375; 0.173 sec/batch)
2017-07-22 21:53:20.014759: step=870(102/5), loss=0.1607, acc=0.9375; 0.188 sec/batch)
2017-07-22 21:53:21.514466: step=880(112/5), loss=0.2320, acc=0.9531; 0.140 sec/batch)
2017-07-22 21:53:22.877073: step=890(122/5), loss=0.1743, acc=0.9375; 0.141 sec/batch)
2017-07-22 21:53:27.185194: step=900(132/5), loss=0.1660, acc=0.9531; 0.191 sec/batch)
